"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
Плед;;"AlViTek (АльВиТек)";Россия;;Al-200/152-pb;200х220;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925566085;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"200/152-pb Микрофибра Бамбук 200х220 Плед AlViTek";6;781;1175;http://alvitek.com.ru/upload/iblock/106/1060204e2b379ed8b8332aa6ce13e07a.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-200/146-pb;200х220;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925566078;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"200/146-pb Микрофибра Бамбук 200х220 Плед AlViTek";5;781;1175;http://alvitek.com.ru/upload/iblock/c5b/c5b9dfcd65646b9b869e5fb61852ae67.jpeg;
Подушка;Модерато;"AlViTek (АльВиТек)";Россия;Люкс;ПМС-070;68х68;;"Средняя-универсальная (молния)";;;;;;;"Овечья шерсть Меринос,пэ";"Искуственный ""Лебяжий пух""";;"150 гр/кв.м";"1 кг";"Сатин жаккард";"100% хлопок";Молния;;;;"Многоигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048003367;;Кремовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПМС-070 Подушка ""МОДЕРАТО"" 68х68";25;690;1040;http://alvitek.com.ru/upload/iblock/c1c/c1cf6705987939e994930e9b0afc086e.jpeg;"подушка: стеганный чехол с молнией (наполнитель овечья шерсть меринос 150 г/кв.м, ткань 100% хлопок - сатин), наполнитель ""Лебяжий пух"" ( 1кг высокосиликонизированное микроволокно), кант атласный, уголок, флажок, бирка, постер в сумке"
"Набор полотенец";;JUANNA;Турция;;JUANNA-9731-розовый;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925537085;;;;;"Тональность изделия может отличаться от фото";;;;;;"9731 Розовый MENEKSE (50х90+70х140 ) в коробке набор полотенец JUANNA";5;688;965;http://alvitek.com.ru/upload/iblock/ffb/ffbc7aca331614b5f7381ee78dbc6f21.jpeg;
"Набор полотенец";;JUANNA;Турция;;9731-молочный;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925537047;;;;;"Тональность изделия может отличаться от фото";;;;;;"9731 Молочный MENEKSE (50х90+70х140 ) в коробке набор полотенец JUANNA";3;688;965;http://alvitek.com.ru/upload/iblock/198/1988734b93231d6cff94f2eb3ac41454.jpeg;
"Набор полотенец";;JUANNA;Турция;;9731-персиковый;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925537061;;;;;"Тональность изделия может отличаться от фото";;;;;;"9731 Персиковый MENEKSE (50х90+70х140 ) в коробке набор полотенец JUANNA";3;688;965;http://alvitek.com.ru/upload/iblock/b64/b6463031955e5939fa6fbecb02c2587e.jpeg;
"Набор полотенец";;JUANNA;Турция;;9731-пудра;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925537078;;;;;"Тональность изделия может отличаться от фото";;;;;;"9731 Пудра MENEKSE (50х90+70х140 ) в коробке набор полотенец JUANNA";1;688;965;http://alvitek.com.ru/upload/iblock/aa9/aa96251cd2d9aa599ae9dadfdf0f27fc.jpeg;
"Набор полотенец";;JUANNA;Турция;;9732-пудра;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925537009;;;;;"Тональность изделия может отличаться от фото";;;;;;"9732 Пудра JASMIN (50х90+70х140 ) в коробке набор полотенец JUANNA";2;688;965;http://alvitek.com.ru/upload/iblock/64e/64eaa27264024e91f5fb830682e79e66.jpeg;
"Набор полотенец";;JUANNA;Турция;;9732-розовый;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925537016;;;;;"Тональность изделия может отличаться от фото";;;;;;"9732 Розовый JASMIN (50х90+70х140 ) в коробке набор полотенец JUANNA";1;688;965;http://alvitek.com.ru/upload/iblock/34c/34c537f899490e42c8d7e86e5f464bd5.jpeg;
"Набор полотенец";;JUANNA;Турция;;9732-персиковый;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925536996;;;;;"Тональность изделия может отличаться от фото";;;;;;"9732 Персиковый JASMIN (50х90+70х140 ) в коробке набор полотенец JUANNA";1;688;965;http://alvitek.com.ru/upload/iblock/e24/e244337a198d3c1aa2f312537a79068d.jpeg;
"Набор полотенец";;JUANNA;Турция;;JUANNA-9723-молочный;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925536910;;;;;"Тональность изделия может отличаться от фото";;;;;;"9723 Молочный BATIK (50х90+70х140 ) в коробке набор полотенец JUANNA";3;688;965;http://alvitek.com.ru/upload/iblock/899/899974d6f3f85630600ea65c22ef2962.jpeg;
"Набор полотенец";;JUANNA;Турция;;JUANNA-9723-роз;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925536958;;;;;"Тональность изделия может отличаться от фото";;;;;;"9723 Розовый BATIK (50х90+70х140 ) в коробке набор полотенец JUANNA";2;688;965;http://alvitek.com.ru/upload/iblock/775/775cbfa904c207203f25210a953af1b2.jpeg;
"Набор полотенец";;JUANNA;Турция;;JUANNA-9723-бак;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925536897;;;;;"Тональность изделия может отличаться от фото";;;;;;"9723 Баклажан BATIK (50х90+70х140 ) в коробке набор полотенец JUANNA";2;688;965;http://alvitek.com.ru/upload/iblock/36a/36a6d3275ac33697c994fd19ed12cc82.jpeg;
"Набор полотенец";;"Метеор Текстиль";Турция;;"Метеор -9485";40х60;;;;;;;;;;;;;;Вафля;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925548180;;;;;"Тональность изделия может отличаться от фото";;;;;;"9485 Оливки В  (40х60)х2шт в коробке Набор кухонный Метеор";2;198;275;http://alvitek.com.ru/upload/iblock/6e2/6e2b4d2fc2eb820bf82c174ec8918fad.jpeg;
"Комплект постельного белья";;Экзотика;Россия;;Э-Б5-15-Мильфлер*;Полутороспальное;;;"70х70 (2шт.)";143х215;150х215;Обычная;;;;;;;;Поплин;"100% хлопок";Прорезь(запах);;;;;;"Прямоугольная ПВХ";;;;;2000900107104;;;;;"Тональность изделия может отличаться от фото";;;;;;"Мильфлер* КПБ 1.5 сп (5) ""Экзотика"" Поплин";7;867;1215;http://alvitek.com.ru/upload/iblock/eeb/eeb0d8735c190453c07c40b3f53e2fb0.jpeg;
Наматрасник;"Овечья шерсть";"AlViTek (АльВиТек)";Россия;Комфорт;НШ-220;200х220;;;;;;;;"Овечья шерсть,пэ";;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048004012;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"НШ-220  Наматрасник с резинкой ""Шерсть-Традиция"" 220х200";8;700;1055;http://alvitek.com.ru/upload/iblock/a4c/a4c2cf6979d558393556dfa691af4df7.jpeg;"наматрасник на резинке с наполнителем с овечьей шерстью 200 г/кв.м, чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в пакете с ручкой"
Наволочка;;"AlViTek (АльВиТек)";Россия;;Н-70;;;;"70х70 (2шт.)";;;;;;;;;;;Бязь;;;Прорезь(запах);;;;;"Пакет ПВХ";;"2 шт.";;;4607048005019;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"наволочка 2шт.-70х70 ткань хлопок Н-70";189;243;370;http://alvitek.com.ru/upload/iblock/239/2396ac68f59ed9852801b690c266df1d.jpeg;"ткань-бязь(хлопок 100%), бирка, постер, пакет"
Одеяло;Гостиница;"AlViTek (АльВиТек)";Россия;Стандарт;ОГП-15;140х205;Теплое;;;;;;;Холфит-пласт;;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;"Одноигольная машина";;Пакет;;;;;4607048008171;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ОГП-15 Одеяло ""Гостиница"" 140х205 классическое (мин.10шт)";1;797;1200;http://alvitek.com.ru/upload/iblock/8d2/8d2d9e7c26b1c49ac15440b6357f142f.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 300 г/кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) , бирка, в пакете"
Одеяло;Гостиница;"AlViTek (АльВиТек)";Россия;Стандарт;ОГП-20;172х205;Теплое;;;;;;;Холфит-пласт;;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;"Одноигольная машина";;Пакет;;;;;4607048008188;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ОГП-20 Одеяло ""Гостиница"" 172х205 классическое (мин.10шт)";1;953;1435;http://alvitek.com.ru/upload/iblock/aa3/aa34a387f5935ea6ca070ba155b34345.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 300 г/кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) , бирка, в пакете"
Одеяло;Гостиница;"AlViTek (АльВиТек)";Россия;Стандарт;ОГП-22;200х220;Теплое;;;;;;;Холфит-пласт;;;"300 гр/кв.м";;;Поликоттон;"50% хлопок/50% полиэстр";;;;;"Одноигольная машина";;Пакет;;;;;4607048008195;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ОГП-22 Одеяло ""Гостиница"" 200х220 классическое (мин.10шт)";1;1184;1775;http://alvitek.com.ru/upload/iblock/6a7/6a7148cfc38aeac20c3fa4fadcf0ec57.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 300 г/кв.м), чехол - ткань смесовая (поликоттон; 50% - хлопок/50% - полиэстер; 120 г/кв.м) ,  бирка, в пакете"
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Classik -из 2-х-ч";50х90+70х130;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;Коробка;;"2 шт.";;;2000925496511;;;;;"Тональность изделия может отличаться от фото";;;;;;"Черника Classik-Б ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";4;607;895;http://alvitek.com.ru/upload/iblock/f0f/f0f3f7f751ac6e143be24f1714f1209d.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Classik -из 2-х-ш";50х90+70х130;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;Коробка;;"2 шт.";;;2000925496528;;;;;"Тональность изделия может отличаться от фото";;;;;;"Шампань Classik-Б ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";3;607;895;http://alvitek.com.ru/upload/iblock/27b/27b008edcf563add2601d4128ed4ee51.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Classik -из 2-х-с";50х90+70х130;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;Коробка;;"2 шт.";;;2000925496498;;;;;"Тональность изделия может отличаться от фото";;;;;;"Сирень Classik-Б ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";4;607;895;http://alvitek.com.ru/upload/iblock/13f/13fd5f35e31786cef638fc7ed2e1c20f.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Classik -из 2-х-б";50х90+70х130;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;Коробка;;"2 шт.";;;2000925496474;;;;;"Тональность изделия может отличаться от фото";;;;;;"Бирюза Classik-Б ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";2;607;895;http://alvitek.com.ru/upload/iblock/451/45195cdb20f05601a864f2c149a0f759.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста- Classik -из 2-х-ф";50х90+70х130;;;;;;;;;;;;;;Махра;"100%  бамбук";;;;;;;Коробка;;"2 шт.";;;2000925496504;;;;;"Тональность изделия может отличаться от фото";;;;;;"Фиолетовый Classik-Б ( 50х90+70х130 ) в коробке Набор полотенец Фиеста";4;607;895;http://alvitek.com.ru/upload/iblock/e74/e743ddc0e33b73506eecb6ca19bb6140.jpeg;
"Набор полотенец";;Fiesta;Турция;;Фиеста-Cotton-30х50х3-мик;30х50х3шт;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"3 шт.";;;2000925496535;;;;;"Тональность изделия может отличаться от фото";;;;;;"Микс Cotton-М ( 30х50х3шт ) в коробке Набор полотенец Фиеста";1;260;390;http://alvitek.com.ru/upload/iblock/988/98839b8856e9edae136484de3279a863.jpeg;
"Набор полотенец";;Fiesta;Турция;;"Фиеста-Kvadrro-из 2-х-фио";50х90+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925496641;;;;;"Тональность изделия может отличаться от фото";;;;;;"Фиолетовый Kvadrro-М ( 50х90+70х130 ) в коробке Набор полотенец  Фиеста";6;626;920;http://alvitek.com.ru/upload/iblock/ce7/ce7413313b0935950651a736435f87e7.jpeg;
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-Св. сер. зв";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579764;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Светло-серый Звездочки 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";8;713;0;http://alvitek.com.ru/upload/iblock/a0a/a0aaceb0c1eca961e46b43078f4499f3.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-льд лош";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579740;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Льдистый Лошадки 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/2dc/2dc83cfd74f950e76e88e87a4e5bb405.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-Фл сер";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579801;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Фламинго Сердечки 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/fbf/fbf37d621862c4f0a5a1609b11f05a35.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-Дым миш";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579719;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Дымчатый Мишки 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";9;713;0;http://alvitek.com.ru/upload/iblock/74b/74b8261287d1c121913b56eeb2552ec4.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-Вал миш";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579702;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Валериана Мишка 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/483/4835b8f95ecc0783379e7ddb90a90114.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-оме миш";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579757;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Омела Мишка 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/112/112faafd92b98630d83ce7caffb93887.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-сум лес";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579788;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Сумеречный Лес 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/d10/d10ea7be9948b8d071a8d7200a010863.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-сум олен";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579795;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Сумеречный Олененок 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/e2a/e2a15335c56b89c434bbb027bf8d7061.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-лав олен";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579733;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Лаванда Олененок 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/eb5/eb509514dbb164ae17a4bae05d0feefc.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ- 57-8ЕТЖ-П-лав лес";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579726;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Лаванда  Лес 57-8ЕТЖ Премиум 100х140 100% х/б Байковое жаккард Ермолино одеяло";10;713;0;http://alvitek.com.ru/upload/iblock/529/529477106a37d7a87296ddb2431acce1.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-215х150 5772ВЖК-беж ую";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579894;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Бежевое Уют 5772ВЖК 215х150 100% х/б Байковое жак одеяло Ермолино";28;998;0;http://alvitek.com.ru/upload/iblock/e76/e764728db450046fb94e8bfb5b70d51b.jpeg;"Одеяло ""Байковые"", 75% х/б +25% вискоза"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-215х150 5772ВЖК-кор э";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579924;;Коричневый;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Коричневое ( Элегант ) 5772ВЖК 215х150 100% х/б Байковое жак  Ермолино одеяло";25;998;0;http://alvitek.com.ru/upload/iblock/ccb/ccb0a8d249a36509a419565eed2b7223.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-215х150 5772ВЖК-кор ую";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579917;;Коричневый;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Коричневое ( Уют)  5772ВЖК 215х150 100% х/б Байковое жак  Ермолино одеяло";25;998;0;http://alvitek.com.ru/upload/iblock/546/546e9ecb170e93925bca1f00d6bf00d5.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"5772ВЖК/М-фисташка сакура";150х212;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579887;;Фисташковый;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Фисташка Сакура  5772ВЖК Премиум 212х150 100 % х/б Байковое жаккард Ермолино одеяло";17;1248;0;http://alvitek.com.ru/upload/iblock/554/554cabbef069ab6b62b526a8871f888f.jpeg;
"Одеяло байковое";;Ермолино;Россия;;"5772ВЖК/М-льд стр";150х212;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579832;;Серый;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Льдистый Стрекоза  5772ВЖК Премиум 212х150 100 % х/б Байковое жаккард Ермолино одеяло";18;1248;0;http://alvitek.com.ru/upload/iblock/ff2/ff219c4ffb98c95d3bf6c40f2694d727.jpeg;
"Одеяло байковое";;Ермолино;Россия;;"ОБ-215х150 5772ВЖ-мал кр";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579931;;Малина;;;"Тональность изделия может отличаться от фото";;;;;"75% х/б +25% вискоза";"Малина Кружево 5772ВЖ 215х150 75% х/б +25% вискоза  Ермолино одеяло";17;675;0;http://alvitek.com.ru/upload/iblock/00a/00ab262b0e533875ca783be55562292a.jpeg;"Одеяло ""Байковые"", 75% х/б +25% вискоза"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-син зв";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579696;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Синее Зверюшки 57-8ЕТЖ 100х140 100% х/б Байковое жак Ермолино одеяло";19;493;0;http://alvitek.com.ru/upload/iblock/7ea/7eae214f85e361ce95ee534753a14563.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-зел со";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579689;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Зеленое Совушки 57-8ЕТЖ 100х140 100% х/б Байковое жак Ермолино одеяло";19;493;0;http://alvitek.com.ru/upload/iblock/ba1/ba1111a376f5f54fbd1733c1d586a504.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-8ЕТЖ-жел за";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925579672;;;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Желтое Зайкин сон 57-8ЕТЖ 100х140 100% х/б Байковое жак Ермолино одеяло";20;493;0;http://alvitek.com.ru/upload/iblock/16a/16ae1762af7b3bc8ff4ae18fe08a7811.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
Одеяло;Бамбук;"AlViTek (АльВиТек)";Россия;Стандарт;ОСБ-Д-10;110х140;"Очень теплое";;;;;;;"Бамбуковое волокно,пэ";;;"300 гр/кв.м";;;Перкаль;"100% хлопок";;;;;"Одноигольная машина";"Кант атласный";"Сумка оригинальная";;;;;4607048007730;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ОСБ-Д-10 Одеяло ""Бамбук"" 110х140 классическое";12;726;1095;http://alvitek.com.ru/upload/iblock/17e/17e586118515da476768cf1806e488e9.jpeg;"одеяло с наполнителем из бамбукового волокна 300 г/кв.м, чехол (100% хлопок) - сатин или перкаль, кант атласный, уголок, бирка, флажок, постер, в сумке"
Наматрасник;;;;;НСБРД-70х140;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000641564402;;;;;"Тональность изделия может отличаться от фото";;;;;;"НСБРД-70х140 Наматрасник ""Бамбук"" 70х140";1;342;510;http://alvitek.com.ru/upload/iblock/6d9/6d9bc517ca1672b8ab017f3e9590f791.jpeg;"наматрасник на резинке с наполнителем из бамбукового волокна 300 г/кв.м, чехол - ткань 100% хлопок, окантовка косая бейка, бирка, постер, в чемодане ПВХ"
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9230 Оранжевый";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925533100;;;;;"Тональность изделия может отличаться от фото";;;;;;"9230 Оранжевый BOTANIK  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";5;691;965;http://alvitek.com.ru/upload/iblock/fe8/fe82cb72d13f5cb37995540bcb7a7a20.jpeg;
"Набор полотенец";;MERZUKA;Турция;;"MERZUKA-9230 Персиковый";50х80+70х130;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925533117;;;;;"Тональность изделия может отличаться от фото";;;;;;"9230 Персиковый  BOTANIK  (50х80+70х130 ) в коробке Набор полотенец MERZUKA";4;691;965;http://alvitek.com.ru/upload/iblock/ca9/ca931037932ec6d68d2e89a884e412a5.jpeg;
Подушка;Дольче;"AlViTek (АльВиТек)";Россия;Стандарт;ПТ-П-050;50х68;;Упругая;;;;;;"70% пуха 30% пера, кат. Прима (пух с мелким пером)";;;"1,1 кг";;;Тик;"100% хлопок";;;;;;Кант;"Сумка оригинальная";;;;;4607048005378;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"ПТ-П-050 подушка пуховая ""ПРИМА"" 50х68";53;963;1450;http://alvitek.com.ru/upload/iblock/87f/87fbb9b835d76dfec0da233a7243a172.jpeg;"подушка с наполнителем 70% пуха 30% пера (категории Прима, 1,1кг), чехол (хлопок 100%) - ткань пуходержащий тик, кант, уголок, бирка, флажок, постер, в сумке"
"Набор полотенец";;"TWO DOLPHINS";;;9661-лиловый;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925572833;;;;;"Тональность изделия может отличаться от фото";;;;;;"9661-Лиловый ISABELLA  махра (50х90+70х140 ) в коробке Набор полотенец TWO DOLPHINS";3;691;0;http://alvitek.com.ru/upload/iblock/415/415036ff46033badfef7929be4776b7d.jpeg;
"Набор полотенец";;"TWO DOLPHINS";;;9661-пудра;50х90+70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Коробка;;"2 шт.";;;2000925572840;;;;;"Тональность изделия может отличаться от фото";;;;;;"9661-Пудра ISABELLA  махра (50х90+70х140 ) в коробке Набор полотенец TWO DOLPHINS";3;691;0;http://alvitek.com.ru/upload/iblock/9e0/9e0dca036061fc98cab1b5c2c8643cfa.jpeg;
